n,	e
3217,	25.661879
3218,	25.663119
3219,	25.664358
3220,	25.665598
3221,	25.666837
3222,	25.668075
3223,	25.669313
3224,	25.670551
3225,	25.671788
3226,	25.673025
3227,	25.674262
3228,	25.675498
3229,	25.676734
3230,	25.677970
3231,	25.679205
3232,	25.680440
3233,	25.681674
3234,	25.682908
3235,	25.684141
3236,	25.685375
3237,	25.686608
3238,	25.687840
3239,	25.689072
3240,	25.690304
3241,	25.691535
3242,	25.692766
3243,	25.693997
3244,	25.695227
3245,	25.696457
3246,	25.697686
3247,	25.698916
3248,	25.700144
3249,	25.701373
3250,	25.702601
3251,	25.703828
3252,	25.705055
3253,	25.706282
3254,	25.707509
3255,	25.708735
3256,	25.709961
3257,	25.711186
3258,	25.712411
3259,	25.713636
3260,	25.714860
3261,	25.716084
3262,	25.717307
3263,	25.718531
3264,	25.719753
3265,	25.720976
3266,	25.722198
3267,	25.723420
3268,	25.724641
3269,	25.725862
3270,	25.727082
3271,	25.728303
3272,	25.729522
3273,	25.730742
3274,	25.731961
3275,	25.733180
3276,	25.734398
3277,	25.735616
3278,	25.736834
3279,	25.738051
3280,	25.739268
3281,	25.740484
3282,	25.741701
3283,	25.742916
3284,	25.744132
3285,	25.745347
3286,	25.746562
3287,	25.747776
3288,	25.748990
3289,	25.750203
3290,	25.751417
3291,	25.752630
3292,	25.753842
3293,	25.755054
3294,	25.756266
3295,	25.757477
3296,	25.758689
3297,	25.759899
3298,	25.761110
3299,	25.762320
3300,	25.763529
3301,	25.764738
3302,	25.765947
3303,	25.767156
3304,	25.768364
3305,	25.769572
3306,	25.770779
3307,	25.771986
3308,	25.773193
3309,	25.774399
3310,	25.775605
3311,	25.776811
3312,	25.778016
3313,	25.779221
3314,	25.780426
3315,	25.781630
3316,	25.782834
3317,	25.784037
3318,	25.785241
3319,	25.786443
3320,	25.787646
3321,	25.788848
3322,	25.790050
3323,	25.791251
3324,	25.792452
3325,	25.793652
3326,	25.794853
3327,	25.796053
3328,	25.797252
3329,	25.798451
3330,	25.799650
3331,	25.800849
3332,	25.802047
3333,	25.803245
3334,	25.804442
3335,	25.805639
3336,	25.806836
3337,	25.808032
3338,	25.809228
3339,	25.810424
3340,	25.811619
3341,	25.812814
3342,	25.814009
3343,	25.815203
3344,	25.816397
3345,	25.817591
3346,	25.818784
3347,	25.819977
3348,	25.821169
3349,	25.822361
3350,	25.823553
3351,	25.824744
3352,	25.825936
3353,	25.827126
3354,	25.828317
3355,	25.829507
3356,	25.830696
3357,	25.831886
3358,	25.833075
3359,	25.834263
3360,	25.835452
3361,	25.836640
3362,	25.837827
3363,	25.839014
3364,	25.840201
3365,	25.841388
3366,	25.842574
3367,	25.843760
3368,	25.844945
3369,	25.846130
3370,	25.847315
3371,	25.848500
3372,	25.849684
3373,	25.850868
3374,	25.852051
3375,	25.853234
3376,	25.854417
3377,	25.855599
3378,	25.856781
3379,	25.857963
3380,	25.859144
3381,	25.860325
3382,	25.861506
3383,	25.862686
3384,	25.863866
3385,	25.865046
3386,	25.866225
3387,	25.867404
3388,	25.868583
3389,	25.869761
3390,	25.870939
3391,	25.872116
3392,	25.873293
3393,	25.874470
3394,	25.875647
3395,	25.876823
3396,	25.877999
3397,	25.879174
3398,	25.880350
3399,	25.881524
3400,	25.882699
3401,	25.883873
3402,	25.885047
3403,	25.886220
3404,	25.887393
3405,	25.888566
3406,	25.889739
3407,	25.890911
3408,	25.892082
3409,	25.893254
3410,	25.894425
3411,	25.895596
3412,	25.896766
3413,	25.897936
3414,	25.899106
3415,	25.900275
3416,	25.901444
3417,	25.902613
3418,	25.903781
3419,	25.904949
3420,	25.906117
3421,	25.907284
3422,	25.908451
3423,	25.909618
3424,	25.910784
3425,	25.911950
3426,	25.913116
3427,	25.914281
3428,	25.915446
3429,	25.916611
3430,	25.917775
3431,	25.918939
3432,	25.920103
3433,	25.921266
3434,	25.922429
3435,	25.923592
3436,	25.924754
3437,	25.925916
3438,	25.927078
3439,	25.928239
3440,	25.929400
3441,	25.930561
3442,	25.931721
3443,	25.932881
3444,	25.934041
3445,	25.935200
3446,	25.936359
3447,	25.937518
3448,	25.938676
3449,	25.939834
3450,	25.940992
3451,	25.942149
3452,	25.943306
3453,	25.944463
3454,	25.945619
3455,	25.946775
3456,	25.947931
3457,	25.949086
3458,	25.950241
3459,	25.951396
3460,	25.952551
3461,	25.953705
3462,	25.954858
3463,	25.956012
3464,	25.957165
3465,	25.958317
3466,	25.959470
3467,	25.960622
3468,	25.961774
3469,	25.962925
3470,	25.964076
3471,	25.965227
3472,	25.966377
3473,	25.967527
3474,	25.968677
3475,	25.969827
3476,	25.970976
3477,	25.972124
3478,	25.973273
3479,	25.974421
3480,	25.975569
3481,	25.976716
3482,	25.977863
3483,	25.979010
3484,	25.980157
3485,	25.981303
3486,	25.982449
3487,	25.983594
3488,	25.984740
3489,	25.985884
3490,	25.987029
3491,	25.988173
3492,	25.989317
3493,	25.990461
3494,	25.991604
3495,	25.992747
3496,	25.993890
3497,	25.995032
3498,	25.996174
3499,	25.997316
3500,	25.998457
3501,	25.999598
3502,	26.000739
3503,	26.001879
3504,	26.003019
3505,	26.004159
3506,	26.005298
3507,	26.006437
3508,	26.007576
3509,	26.008714
3510,	26.009853
3511,	26.010990
3512,	26.012128
3513,	26.013265
3514,	26.014402
3515,	26.015538
3516,	26.016675
3517,	26.017810
3518,	26.018946
3519,	26.020081
3520,	26.021216
3521,	26.022351
3522,	26.023485
3523,	26.024619
3524,	26.025753
3525,	26.026886
3526,	26.028019
3527,	26.029152
3528,	26.030284
3529,	26.031416
3530,	26.032548
3531,	26.033679
3532,	26.034811
3533,	26.035941
3534,	26.037072
3535,	26.038202
3536,	26.039332
3537,	26.040461
3538,	26.041591
3539,	26.042720
3540,	26.043848
3541,	26.044976
3542,	26.046104
3543,	26.047232
3544,	26.048359
3545,	26.049486
3546,	26.050613
3547,	26.051739
3548,	26.052866
3549,	26.053991
3550,	26.055117
3551,	26.056242
3552,	26.057367
3553,	26.058491
3554,	26.059615
3555,	26.060739
3556,	26.061863
3557,	26.062986
3558,	26.064109
3559,	26.065232
3560,	26.066354
3561,	26.067476
3562,	26.068598
3563,	26.069719
3564,	26.070840
3565,	26.071961
3566,	26.073082
3567,	26.074202
3568,	26.075322
3569,	26.076441
3570,	26.077560
3571,	26.078679
3572,	26.079798
3573,	26.080916
3574,	26.082034
3575,	26.083152
3576,	26.084269
3577,	26.085386
3578,	26.086503
3579,	26.087619
3580,	26.088736
3581,	26.089851
3582,	26.090967
3583,	26.092082
3584,	26.093197
3585,	26.094312
3586,	26.095426
3587,	26.096540
3588,	26.097654
3589,	26.098767
3590,	26.099880
3591,	26.100993
3592,	26.102105
3593,	26.103217
3594,	26.104329
3595,	26.105441
3596,	26.106552
3597,	26.107663
3598,	26.108774
3599,	26.109884
3600,	26.110994
3601,	26.112104
3602,	26.113213
3603,	26.114322
3604,	26.115431
3605,	26.116539
3606,	26.117648
3607,	26.118756
3608,	26.119863
3609,	26.120970
3610,	26.122077
3611,	26.123184
3612,	26.124290
3613,	26.125397
3614,	26.126502
3615,	26.127608
3616,	26.128713
3617,	26.129818
3618,	26.130922
3619,	26.132027
3620,	26.133131
3621,	26.134234
3622,	26.135338
3623,	26.136441
3624,	26.137543
3625,	26.138646
3626,	26.139748
3627,	26.140850
3628,	26.141951
3629,	26.143053
3630,	26.144154
3631,	26.145254
3632,	26.146355
3633,	26.147455
3634,	26.148554
3635,	26.149654
3636,	26.150753
3637,	26.151852
3638,	26.152950
3639,	26.154049
3640,	26.155147
3641,	26.156244
3642,	26.157342
3643,	26.158439
3644,	26.159536
3645,	26.160632
3646,	26.161728
3647,	26.162824
3648,	26.163920
3649,	26.165015
3650,	26.166110
3651,	26.167205
3652,	26.168299
3653,	26.169393
3654,	26.170487
3655,	26.171580
3656,	26.172674
3657,	26.173767
3658,	26.174859
3659,	26.175952
3660,	26.177044
3661,	26.178135
3662,	26.179227
3663,	26.180318
3664,	26.181409
3665,	26.182499
3666,	26.183590
3667,	26.184680
3668,	26.185769
3669,	26.186859
3670,	26.187948
3671,	26.189037
3672,	26.190125
3673,	26.191213
3674,	26.192301
3675,	26.193389
3676,	26.194476
3677,	26.195563
3678,	26.196650
3679,	26.197737
3680,	26.198823
3681,	26.199909
3682,	26.200994
3683,	26.202080
3684,	26.203165
3685,	26.204249
3686,	26.205334
3687,	26.206418
3688,	26.207502
3689,	26.208585
3690,	26.209668
3691,	26.210751
3692,	26.211834
3693,	26.212917
3694,	26.213999
3695,	26.215080
3696,	26.216162
3697,	26.217243
3698,	26.218324
3699,	26.219405
3700,	26.220485
3701,	26.221565
3702,	26.222645
3703,	26.223725
3704,	26.224804
3705,	26.225883
3706,	26.226961
3707,	26.228040
3708,	26.229118
3709,	26.230196
3710,	26.231273
3711,	26.232350
3712,	26.233427
3713,	26.234504
3714,	26.235580
3715,	26.236656
3716,	26.237732
3717,	26.238808
3718,	26.239883
3719,	26.240958
3720,	26.242032
3721,	26.243107
3722,	26.244181
3723,	26.245255
3724,	26.246328
3725,	26.247401
3726,	26.248474
3727,	26.249547
3728,	26.250619
3729,	26.251691
3730,	26.252763
3731,	26.253835
3732,	26.254906
3733,	26.255977
3734,	26.257047
3735,	26.258118
3736,	26.259188
3737,	26.260258
3738,	26.261327
3739,	26.262397
3740,	26.263465
3741,	26.264534
3742,	26.265603
3743,	26.266671
3744,	26.267738
3745,	26.268806
3746,	26.269873
3747,	26.270940
3748,	26.272007
3749,	26.273073
3750,	26.274140
3751,	26.275205
3752,	26.276271
3753,	26.277336
3754,	26.278401
3755,	26.279466
3756,	26.280531
3757,	26.281595
3758,	26.282659
3759,	26.283722
3760,	26.284786
3761,	26.285849
3762,	26.286911
3763,	26.287974
3764,	26.289036
3765,	26.290098
3766,	26.291160
3767,	26.292221
3768,	26.293282
3769,	26.294343
3770,	26.295404
3771,	26.296464
3772,	26.297524
3773,	26.298584
3774,	26.299643
3775,	26.300702
3776,	26.301761
3777,	26.302820
3778,	26.303878
3779,	26.304936
3780,	26.305994
3781,	26.307052
3782,	26.308109
3783,	26.309166
3784,	26.310222
3785,	26.311279
3786,	26.312335
3787,	26.313391
3788,	26.314446
3789,	26.315502
3790,	26.316557
3791,	26.317611
3792,	26.318666
3793,	26.319720
3794,	26.320774
3795,	26.321828
3796,	26.322881
3797,	26.323934
3798,	26.324987
3799,	26.326040
3800,	26.327092
3801,	26.328144
3802,	26.329196
3803,	26.330247
3804,	26.331298
3805,	26.332349
3806,	26.333400
3807,	26.334450
3808,	26.335500
3809,	26.336550
3810,	26.337600
3811,	26.338649
3812,	26.339698
3813,	26.340747
3814,	26.341795
3815,	26.342843
3816,	26.343891
3817,	26.344939
3818,	26.345986
3819,	26.347034
3820,	26.348080
3821,	26.349127
3822,	26.350173
3823,	26.351219
3824,	26.352265
3825,	26.353311
3826,	26.354356
3827,	26.355401
3828,	26.356445
3829,	26.357490
3830,	26.358534
3831,	26.359578
3832,	26.360621
3833,	26.361665
3834,	26.362708
3835,	26.363751
3836,	26.364793
3837,	26.365835
3838,	26.366877
3839,	26.367919
3840,	26.368961
3841,	26.370002
3842,	26.371043
3843,	26.372083
3844,	26.373124
3845,	26.374164
3846,	26.375204
3847,	26.376243
3848,	26.377283
3849,	26.378322
3850,	26.379360
3851,	26.380399
3852,	26.381437
3853,	26.382475
3854,	26.383513
3855,	26.384550
3856,	26.385588
3857,	26.386624
3858,	26.387661
3859,	26.388697
3860,	26.389734
3861,	26.390769
3862,	26.391805
3863,	26.392840
3864,	26.393875
3865,	26.394910
3866,	26.395945
3867,	26.396979
3868,	26.398013
3869,	26.399047
3870,	26.400080
3871,	26.401113
3872,	26.402146
3873,	26.403179
3874,	26.404212
3875,	26.405244
3876,	26.406276
3877,	26.407307
3878,	26.408339
3879,	26.409370
3880,	26.410401
3881,	26.411431
3882,	26.412461
3883,	26.413492
3884,	26.414521
3885,	26.415551
3886,	26.416580
3887,	26.417609
3888,	26.418638
3889,	26.419666
3890,	26.420695
3891,	26.421723
3892,	26.422750
3893,	26.423778
3894,	26.424805
3895,	26.425832
3896,	26.426859
3897,	26.427885
3898,	26.428911
3899,	26.429937
3900,	26.430963
3901,	26.431988
3902,	26.433013
3903,	26.434038
3904,	26.435063
3905,	26.436087
3906,	26.437111
3907,	26.438135
3908,	26.439158
3909,	26.440182
3910,	26.441205
3911,	26.442227
3912,	26.443250
3913,	26.444272
3914,	26.445294
3915,	26.446316
3916,	26.447337
3917,	26.448359
3918,	26.449380
3919,	26.450400
3920,	26.451421
3921,	26.452441
3922,	26.453461
3923,	26.454481
3924,	26.455500
3925,	26.456519
3926,	26.457538
3927,	26.458557
3928,	26.459575
3929,	26.460593
3930,	26.461611
3931,	26.462629
3932,	26.463646
3933,	26.464663
3934,	26.465680
3935,	26.466697
3936,	26.467713
3937,	26.468729
3938,	26.469745
3939,	26.470761
3940,	26.471776
3941,	26.472791
3942,	26.473806
3943,	26.474820
3944,	26.475835
3945,	26.476849
3946,	26.477863
3947,	26.478876
3948,	26.479890
3949,	26.480903
3950,	26.481915
3951,	26.482928
3952,	26.483940
3953,	26.484952
3954,	26.485964
3955,	26.486976
3956,	26.487987
3957,	26.488998
3958,	26.490009
3959,	26.491019
3960,	26.492029
3961,	26.493039
3962,	26.494049
3963,	26.495059
3964,	26.496068
3965,	26.497077
3966,	26.498086
3967,	26.499094
3968,	26.500103
3969,	26.501111
3970,	26.502118
3971,	26.503126
3972,	26.504133
3973,	26.505140
3974,	26.506147
3975,	26.507153
3976,	26.508160
3977,	26.509166
3978,	26.510171
3979,	26.511177
3980,	26.512182
3981,	26.513187
3982,	26.514192
3983,	26.515196
3984,	26.516201
3985,	26.517205
3986,	26.518208
3987,	26.519212
3988,	26.520215
3989,	26.521218
3990,	26.522221
3991,	26.523223
3992,	26.524226
3993,	26.525228
3994,	26.526229
3995,	26.527231
3996,	26.528232
3997,	26.529233
3998,	26.530234
3999,	26.531235
4000,	26.532235
