n,	e
802,	20.176927
803,	20.181788
804,	20.186642
805,	20.191491
806,	20.196334
807,	20.201172
808,	20.206003
809,	20.210828
810,	20.215648
811,	20.220462
812,	20.225270
813,	20.230072
814,	20.234868
815,	20.239659
816,	20.244444
817,	20.249223
818,	20.253996
819,	20.258764
820,	20.263526
821,	20.268282
822,	20.273033
823,	20.277778
824,	20.282517
825,	20.287251
826,	20.291979
827,	20.296701
828,	20.301418
829,	20.306129
830,	20.310835
831,	20.315535
832,	20.320230
833,	20.324919
834,	20.329603
835,	20.334281
836,	20.338953
837,	20.343620
838,	20.348282
839,	20.352938
840,	20.357589
841,	20.362234
842,	20.366874
843,	20.371509
844,	20.376138
845,	20.380762
846,	20.385380
847,	20.389994
848,	20.394601
849,	20.399204
850,	20.403801
851,	20.408393
852,	20.412979
853,	20.417561
854,	20.422137
855,	20.426707
856,	20.431273
857,	20.435833
858,	20.440388
859,	20.444938
860,	20.449483
861,	20.454023
862,	20.458557
863,	20.463086
864,	20.467610
865,	20.472129
866,	20.476643
867,	20.481152
868,	20.485656
869,	20.490154
870,	20.494648
871,	20.499136
872,	20.503619
873,	20.508098
874,	20.512571
875,	20.517039
876,	20.521503
877,	20.525961
878,	20.530414
879,	20.534863
880,	20.539306
881,	20.543745
882,	20.548178
883,	20.552607
884,	20.557030
885,	20.561449
886,	20.565863
887,	20.570272
888,	20.574676
889,	20.579076
890,	20.583470
891,	20.587860
892,	20.592244
893,	20.596624
894,	20.601000
895,	20.605370
896,	20.609735
897,	20.614096
898,	20.618452
899,	20.622804
900,	20.627150
901,	20.631492
902,	20.635829
903,	20.640161
904,	20.644489
905,	20.648812
906,	20.653130
907,	20.657444
908,	20.661753
909,	20.666057
910,	20.670357
911,	20.674652
912,	20.678943
913,	20.683228
914,	20.687510
915,	20.691786
916,	20.696058
917,	20.700326
918,	20.704589
919,	20.708847
920,	20.713101
921,	20.717350
922,	20.721595
923,	20.725835
924,	20.730071
925,	20.734302
926,	20.738529
927,	20.742751
928,	20.746969
929,	20.751183
930,	20.755392
931,	20.759596
932,	20.763796
933,	20.767992
934,	20.772183
935,	20.776370
936,	20.780553
937,	20.784731
938,	20.788904
939,	20.793074
940,	20.797239
941,	20.801399
942,	20.805556
943,	20.809708
944,	20.813856
945,	20.817999
946,	20.822138
947,	20.826273
948,	20.830403
949,	20.834530
950,	20.838652
951,	20.842769
952,	20.846883
953,	20.850992
954,	20.855097
955,	20.859198
956,	20.863295
957,	20.867387
958,	20.871475
959,	20.875559
960,	20.879639
961,	20.883715
962,	20.887786
963,	20.891854
964,	20.895917
